run	study	input_ng	arm	vaf	target_depth	replicate	enzyme	reads	barcodes	molecules	amplicons	amplicon_share	molecules_per_amplicon	reads_per_molecule	barcode_error	barcode_phred	saturated	payload_clonality	mean_consensus_phred	groups_split	genome_equivalents	molecules_per_geq	variant_molecules	p_enough	label	panel_amplicons
SRR17220922	PRJNA788522	20	1	0.01	10.0	3		495272	53253	44210	5	0.7613	8842	11.2	0.001781	27.49	0	0.1355	37.07	69	6061	1.46	88.42	1.0	20ng_1_10x_rep_3	5
SRR17220937	PRJNA788522	20	1	0.01	3.3	1		136158	31868	29060	5	0.8209	5812	4.69	0.002289	26.4	0	0.15355	37.59	4	6061	0.96	58.12	1.0	20ng_1_3.3x_rep_1	5
SRR17220936	PRJNA788522	20	1	0.01	3.3	2		141827	33270	30300	5	0.796	6060	4.68	0.00263	25.8	0	0.13925	37.26	9	6061	1.0	60.6	1.0	20ng_1_3.3x_rep_2	5
SRR17220935	PRJNA788522	20	1	0.01	3.3	3		116284	32668	30201	5	0.8136	6040	3.85	0.003759	24.25	0	0.1499	37.36	11	6061	1.0	60.4	1.0	20ng_1_3.3x_rep_3	5
SRR17220904	PRJNA788522	20	cell_line	None	10.0	1		886557	63721	55156	4	0.6523	11031	16.07	0.00105	29.79	0	0.1317	35.71	263	6061	2.28			20ng_cell_line_10x_rep_1	5
SRR17220903	PRJNA788522	20	cell_line	None	10.0	2		910452	64418	56612	4	0.6504	11322	16.08	0.000945	30.25	0	0.1324	35.71	301	6061	2.34			20ng_cell_line_10x_rep_2	5
SRR17220902	PRJNA788522	20	cell_line	None	10.0	3		644788	49430	42726	4	0.6688	8545	15.09	0.001072	29.7	0	0.1388	36.49	190	6061	1.76			20ng_cell_line_10x_rep_3	5
SRR17220914	PRJNA788522	20	cell_line	None	3.3	1		253944	33952	30887	4	0.6939	6177	8.22	0.001965	27.07	0	0.15255	37.38	68	6061	1.27			20ng_cell_line_3.3x_rep_1	5
SRR17220913	PRJNA788522	20	cell_line	None	3.3	2		223834	37239	34113	4	0.6753	6823	6.56	0.00289	25.39	0	0.14175	36.73	66	6061	1.41			20ng_cell_line_3.3x_rep_2	5
SRR17220912	PRJNA788522	20	cell_line	None	3.3	3		219346	32779	29648	4	0.6743	5930	7.4	0.002315	26.35	0	0.1428	36.92	66	6061	1.22			20ng_cell_line_3.3x_rep_3	5
SRR17220895	PRJNA788522	20	cell_line	None	30.0	1		2272798	108187	91954	4	0.6477	18391	24.72	0.000786	31.04	0	0.1302	34.72	876	6061	3.79			20ng_cell_line_30x_rep_1	5
SRR17220893	PRJNA788522	20	cell_line	None	30.0	2		1655439	97189	85196	4	0.6354	17039	19.43	0.000774	31.11	0	0.12555	34.54	519	6061	3.51			20ng_cell_line_30x_rep_2	5
SRR17220892	PRJNA788522	20	cell_line	None	30.0	3		1786170	89106	74979	4	0.6174	14996	23.82	0.000829	30.81	0	0.12645	34.76	606	6061	3.09			20ng_cell_line_30x_rep_3	5
SRR17220947	PRJNA788522	5	WT	0.0	10.0	1		509678	28179	21906	5	0.7056	4381	23.27	0.001217	29.15	0	0.1124	35.13	68	1515	2.89	0.0	0.0	5ng_WT_10x_rep_1	5
SRR17220946	PRJNA788522	5	WT	0.0	10.0	2		616668	30798	23394	5	0.732	4679	26.36	0.001167	29.33	0	0.12455	35.32	66	1515	3.09	0.0	0.0	5ng_WT_10x_rep_2	5
SRR17220945	PRJNA788522	5	WT	0.0	10.0	3		474862	27038	21119	5	0.7105	4224	22.49	0.001217	29.15	0	0.1189	35.34	57	1515	2.79	0.0	0.0	5ng_WT_10x_rep_3	5
SRR17220890	PRJNA788522	5	WT	0.0	3.3	1		141997	16670	14437	5	0.7441	2887	9.84	0.001632	27.87	0	0.12145	36.09	12	1515	1.91	0.0	0.0	5ng_WT_3.3x_rep_1	5
SRR17220959	PRJNA788522	5	WT	0.0	3.3	2		126043	14858	13166	5	0.7968	2633	9.57	0.001372	28.63	0	0.1399	37.09	9	1515	1.74	0.0	0.0	5ng_WT_3.3x_rep_2	5
SRR17220958	PRJNA788522	5	WT	0.0	3.3	3		170466	17750	15430	5	0.7605	3086	11.05	0.001296	28.87	0	0.13285	36.16	9	1515	2.04	0.0	0.0	5ng_WT_3.3x_rep_3	5
SRR17220957	PRJNA788522	5	0.125	0.00125	10.0	1		372576	22436	17771	5	0.6889	3554	20.97	0.001366	28.65	0	0.1055	35.6	44	1515	2.35	4.44	0.8199	5ng_0.125_10x_rep_1	5
SRR17220956	PRJNA788522	5	0.125	0.00125	10.0	2		504097	26847	20382	5	0.6654	4076	24.73	0.001326	28.77	0	0.09495	34.57	82	1515	2.69	5.1	0.8832	5ng_0.125_10x_rep_2	5
SRR17220955	PRJNA788522	5	0.125	0.00125	10.0	3		427786	34452	29799	5	0.7665	5960	14.36	0.001079	29.67	0	0.18115	33.97	56	1515	3.93	7.45	0.9789	5ng_0.125_10x_rep_3	5
SRR17220961	PRJNA788522	5	0.125	0.00125	3.3	1		160790	15725	13493	5	0.717	2699	11.92	0.001615	27.92	0	0.1119	35.59	16	1515	1.78	3.37	0.6551	5ng_0.125_3.3x_rep_1	5
SRR17220960	PRJNA788522	5	0.125	0.00125	3.3	2		222757	16734	13819	5	0.7117	2764	16.12	0.001426	28.46	0	0.1095	35.77	23	1515	1.82	3.45	0.6707	5ng_0.125_3.3x_rep_2	5
SRR17220949	PRJNA788522	5	0.125	0.00125	3.3	3		162902	15459	13168	5	0.7388	2634	12.37	0.001616	27.92	0	0.1192	36.07	23	1515	1.74	3.29	0.639	5ng_0.125_3.3x_rep_3	5
