sample_id	min_reads	max_reads	groups
PBMC	1	1	15360
PBMC	2	3	3387
PBMC	4	7	1514
PBMC	8	15	716
PBMC	16	31	357
PBMC	32	63	165
PBMC	64	127	79
PBMC	128	255	30
PBMC	256	511	13
PBMC	512	1023	8
PBMC	1024	2047	4
PBMC	2048	4095	2
PBMC	4096	8191	0
PBMC	8192	16383	0
PBMC	16384	32767	1
