rank	umis	called	cumulative_umis	cumulative_fraction
1	195	1	195	0.009013
2	193	1	388	0.017933
3	193	1	581	0.026853
4	191	1	772	0.035681
5	190	1	962	0.044463
6	189	1	1151	0.053198
7	189	1	1340	0.061934
8	188	1	1528	0.070623
9	187	1	1715	0.079266
10	187	1	1902	0.087909
11	186	1	2088	0.096506
12	183	1	2271	0.104964
13	181	1	2452	0.113330
14	180	1	2632	0.121649
15	180	1	2812	0.129969
16	180	1	2992	0.138288
17	179	1	3171	0.146561
18	178	1	3349	0.154788
19	177	1	3526	0.162969
20	176	1	3702	0.171104
21	174	1	3876	0.179146
22	173	1	4049	0.187142
23	173	1	4222	0.195138
24	172	1	4394	0.203087
25	170	1	4564	0.210945
26	169	1	4733	0.218756
27	168	1	4901	0.226521
28	168	1	5069	0.234285
29	168	1	5237	0.242050
30	166	1	5403	0.249723
31	166	1	5569	0.257395
32	161	1	5730	0.264836
33	155	1	5885	0.272000
34	152	1	6037	0.279026
35	150	1	6187	0.285959
36	149	1	6336	0.292845
37	148	1	6484	0.299686
38	148	1	6632	0.306526
39	147	1	6779	0.313320
40	145	1	6924	0.320022
41	142	1	7066	0.326585
43	136	1	7342	0.339342
45	134	1	7612	0.351821
47	124	1	7868	0.363653
49	121	1	8112	0.374931
51	118	1	8348	0.385838
53	114	1	8577	0.396423
55	111	1	8800	0.406730
57	107	1	9018	0.416805
59	105	1	9229	0.426558
61	104	1	9438	0.436217
64	102	1	9748	0.450545
67	90	1	10033	0.463718
70	89	1	10301	0.476105
73	83	1	10555	0.487844
76	77	1	10789	0.498660
79	74	1	11015	0.509105
82	72	1	11232	0.519135
86	69	1	11512	0.532076
90	67	1	11781	0.544509
94	62	1	12035	0.556249
98	59	1	12274	0.567295
102	57	1	12503	0.577879
107	53	1	12777	0.590544
112	47	1	13026	0.602052
117	40	1	13235	0.611712
122	3	0	13360	0.617489
128	3	0	13378	0.618321
134	3	0	13396	0.619153
140	3	0	13414	0.619985
146	3	0	13432	0.620817
153	3	0	13453	0.621788
160	3	0	13474	0.622758
167	3	0	13495	0.623729
175	3	0	13519	0.624838
183	3	0	13543	0.625947
192	3	0	13570	0.627195
201	3	0	13597	0.628443
211	3	0	13627	0.629830
221	3	0	13657	0.631216
232	3	0	13690	0.632742
243	3	0	13723	0.634267
255	3	0	13759	0.635931
267	3	0	13795	0.637595
280	3	0	13834	0.639397
293	3	0	13873	0.641200
307	3	0	13915	0.643141
322	3	0	13960	0.645221
338	3	0	14008	0.647439
354	3	0	14056	0.649658
371	3	0	14107	0.652015
389	3	0	14161	0.654511
408	3	0	14218	0.657145
428	3	0	14278	0.659919
449	3	0	14341	0.662830
471	3	0	14407	0.665881
494	3	0	14476	0.669070
518	3	0	14548	0.672398
543	3	0	14623	0.675864
570	3	0	14704	0.679608
598	3	0	14788	0.683490
627	3	0	14875	0.687512
658	3	0	14968	0.691810
690	3	0	15064	0.696247
724	3	0	15166	0.700961
760	3	0	15274	0.705953
797	3	0	15385	0.711083
836	3	0	15502	0.716491
877	3	0	15625	0.722176
920	3	0	15754	0.728138
965	3	0	15889	0.734378
1013	3	0	16033	0.741033
1063	3	0	16183	0.747966
1116	3	0	16342	0.755315
1171	3	0	16507	0.762941
1229	3	0	16681	0.770984
1290	3	0	16864	0.779442
1354	3	0	17056	0.788316
1421	2	0	17209	0.795387
1492	2	0	17351	0.801950
1566	2	0	17499	0.808791
1644	2	0	17655	0.816001
1726	2	0	17819	0.823581
1812	2	0	17991	0.831531
1902	2	0	18171	0.839850
1997	2	0	18361	0.848632
2096	2	0	18559	0.857783
2200	2	0	18767	0.867397
2309	2	0	18985	0.877473
2424	2	0	19215	0.888103
2545	2	0	19457	0.899288
2672	2	0	19711	0.911028
2805	1	0	19890	0.919301
2945	1	0	20030	0.925772
3092	1	0	20177	0.932566
3246	1	0	20331	0.939684
3408	1	0	20493	0.947171
3578	1	0	20663	0.955029
3756	1	0	20841	0.963256
3943	1	0	21028	0.971899
4140	1	0	21225	0.981004
4346	1	0	21431	0.990525
4551	1	0	21636	1.000000
