parent_reads	parents	child_barcodes	child_reads	children_per_parent	reads_per_parent	neighbours	error_from_variants	error_from_reads	phred_from_reads	estimate
61	1	3	3	3.000000	3.000000	78.0	1.928888e-03	1.891551e-03	27.23	1.491766e-03
63	2	4	4	2.000000	2.000000	78.0	1.236928e-03	1.221001e-03	29.13	1.491766e-03
65	4	16	16	4.000000	4.000000	78.0	2.429711e-03	2.366864e-03	26.26	1.491766e-03
66	1	1	1	1.000000	1.000000	78.0	5.865184e-04	5.827506e-04	32.35	1.491766e-03
67	3	8	8	2.666667	2.666667	78.0	1.557587e-03	1.530808e-03	28.15	1.491766e-03
68	2	8	8	4.000000	4.000000	78.0	2.322518e-03	2.262443e-03	26.45	1.491766e-03
69	2	9	10	4.500000	5.000000	78.0	2.583627e-03	2.787068e-03	25.55	1.491766e-03
70	1	1	1	1.000000	1.000000	78.0	5.530031e-04	5.494505e-04	32.60	1.491766e-03
71	2	6	6	3.000000	3.000000	78.0	1.657213e-03	1.625135e-03	27.89	1.491766e-03
72	3	5	5	1.666667	1.666667	78.0	8.999630e-04	8.903134e-04	30.50	1.491766e-03
73	5	17	17	3.400000	3.400000	78.0	1.831575e-03	1.791359e-03	27.47	1.491766e-03
76	1	1	1	1.000000	1.000000	78.0	5.093449e-04	5.060729e-04	32.96	1.491766e-03
77	1	4	4	4.000000	4.000000	78.0	2.051055e-03	1.998002e-03	26.99	1.491766e-03
78	1	2	2	2.000000	2.000000	78.0	9.990572e-04	9.861933e-04	30.06	1.491766e-03
79	3	8	8	2.666667	2.666667	78.0	1.320992e-03	1.298280e-03	28.87	1.491766e-03
80	1	5	5	5.000000	5.000000	78.0	2.484352e-03	2.403846e-03	26.19	1.491766e-03
81	5	12	12	2.400000	2.400000	78.0	1.157502e-03	1.139601e-03	29.43	1.491766e-03
82	1	5	5	5.000000	5.000000	78.0	2.423758e-03	2.345216e-03	26.30	1.491766e-03
83	2	8	8	4.000000	4.000000	78.0	1.902786e-03	1.853568e-03	27.32	1.491766e-03
84	1	2	2	2.000000	2.000000	78.0	9.276959e-04	9.157509e-04	30.38	1.491766e-03
85	1	6	6	6.000000	6.000000	78.0	2.825037e-03	2.714932e-03	25.66	1.491766e-03
